DateTime,Flow
10/31/19 4:40,0.364
10/31/19 4:45,0.386
10/31/19 4:50,0.408
10/31/19 4:55,0.497
10/31/19 5:00,0.524
10/31/19 5:05,0.574
10/31/19 5:10,0.624
10/31/19 5:15,0.613
10/31/19 5:20,0.673
10/31/19 5:25,0.674
10/31/19 5:30,0.674
10/31/19 5:35,0.712
10/31/19 5:40,0.828
10/31/19 5:45,0.867
10/31/19 5:50,0.845
10/31/19 5:55,0.921
10/31/19 6:00,0.955
10/31/19 6:05,0.96
10/31/19 6:10,0.955
10/31/19 6:15,1.027
10/31/19 6:20,1.076
10/31/19 6:25,1.159
10/31/19 6:30,1.209
10/31/19 6:35,1.23
10/31/19 6:40,1.291
10/31/19 6:45,1.363
10/31/19 6:50,1.435
10/31/19 6:55,1.413
10/31/19 7:00,1.457
10/31/19 7:05,1.463
10/31/19 7:10,1.468
10/31/19 7:15,1.518
10/31/19 7:20,1.512
10/31/19 7:25,1.507
10/31/19 7:30,1.513
10/31/19 7:35,1.507
10/31/19 7:40,1.48
10/31/19 7:45,1.518
10/31/19 7:50,1.491
10/31/19 7:55,1.495
10/31/19 8:00,1.491
10/31/19 8:05,1.441
10/31/19 8:10,1.447
10/31/19 8:15,1.435
10/31/19 8:20,1.414
10/31/19 8:25,1.424
10/31/19 8:30,1.419
10/31/19 8:35,1.369
10/31/19 8:40,1.374
10/31/19 8:45,1.419
10/31/19 8:50,1.38
10/31/19 8:55,1.314
10/31/19 9:00,1.303
10/31/19 9:05,1.341
10/31/19 9:10,1.353
10/31/19 9:15,1.313
10/31/19 9:20,1.314
10/31/19 9:25,1.308
10/31/19 9:30,1.303
10/31/19 9:35,1.264
10/31/19 9:40,1.314
10/31/19 9:45,1.248
10/31/19 9:50,1.253
10/31/19 9:55,1.192
10/31/19 10:00,1.248
10/31/19 10:05,1.176
10/31/19 10:10,0.949
10/31/19 10:15,1.192
10/31/19 10:20,1.209
10/31/19 10:25,1.137
10/31/19 10:30,1.143
10/31/19 10:35,1.17
10/31/19 10:40,1.209
10/31/19 10:45,1.187
10/31/19 10:50,1.149
10/31/19 10:55,1.186
10/31/19 11:00,1.187
10/31/19 11:05,1.148
10/31/19 11:10,1.137
10/31/19 11:15,1.153
10/31/19 11:20,1.143
10/31/19 11:25,1.132
10/31/19 11:30,1.06
10/31/19 11:35,1.087
10/31/19 11:40,1.088
10/31/19 11:45,1.021
10/31/19 11:50,1.087
10/31/19 11:55,1.115
10/31/19 12:00,1.049
10/31/19 12:05,1.038
10/31/19 12:10,1.092
10/31/19 12:15,1.109
10/31/19 12:20,1.065
10/31/19 12:25,0.889
10/31/19 12:30,1.066
10/31/19 12:35,1.049
10/31/19 12:40,1.076
10/31/19 12:45,1.088
10/31/19 12:50,1.093
10/31/19 12:55,1.038
10/31/19 13:00,1.021
10/31/19 13:05,1.01
10/31/19 13:10,0.972
10/31/19 13:15,1.004
10/31/19 13:20,1.032
10/31/19 13:25,1.049
10/31/19 13:30,1.016
10/31/19 13:35,1.005
10/31/19 13:40,1.026
10/31/19 13:45,1.033
10/31/19 13:50,0.983
10/31/19 13:55,1.038
10/31/19 14:00,0.994
10/31/19 14:05,0.96
10/31/19 14:10,0.966
10/31/19 14:15,1.021
10/31/19 14:20,0.966
10/31/19 14:25,1.01
10/31/19 14:30,1.027
10/31/19 14:35,0.988
10/31/19 14:40,0.983
10/31/19 14:45,0.944
10/31/19 14:50,0.922
10/31/19 14:55,0.944
10/31/19 15:00,0.983
10/31/19 15:05,0.977
10/31/19 15:10,1.016
10/31/19 15:15,1.01
10/31/19 15:20,0.988
10/31/19 15:25,0.961
10/31/19 15:30,0.938
10/31/19 15:35,0.96
10/31/19 15:40,0.917
10/31/19 15:45,0.938
10/31/19 15:50,0.966
10/31/19 15:55,0.928
10/31/19 16:00,0.91
10/31/19 16:05,0.977
10/31/19 16:10,0.954
10/31/19 16:15,1.076
10/31/19 16:20,1.076
10/31/19 16:25,1.181
10/31/19 16:30,1.269
10/31/19 16:35,1.413
10/31/19 16:40,1.501
10/31/19 16:45,1.623
10/31/19 16:50,1.711
10/31/19 16:55,1.843
10/31/19 17:00,1.954
10/31/19 17:05,2.113
10/31/19 17:10,2.658
10/31/19 17:15,3.699
10/31/19 17:20,5.6
10/31/19 17:25,8.863
10/31/19 17:30,12.936
10/31/19 17:35,17.015
10/31/19 17:40,20.508
10/31/19 17:45,23.927
10/31/19 17:50,25.978
10/31/19 17:55,27.112
10/31/19 18:00,27.638
10/31/19 18:05,27.662
10/31/19 18:10,27.457
10/31/19 18:15,27.396
10/31/19 18:20,27.149
10/31/19 18:25,26.603
10/31/19 18:30,26.314
10/31/19 18:35,26.276
10/31/19 18:40,26.203
10/31/19 18:45,26.011
10/31/19 18:50,25.714
10/31/19 18:55,25.239
10/31/19 19:00,24.836
10/31/19 19:05,24.46
10/31/19 19:10,24.398
10/31/19 19:15,24.652
10/31/19 19:20,25.285
10/31/19 19:25,25.633
10/31/19 19:30,25.735
10/31/19 19:35,25.487
10/31/19 19:40,25.1
10/31/19 19:45,24.566
10/31/19 19:50,24.002
10/31/19 19:55,23.692
10/31/19 20:00,23.324
10/31/19 20:05,22.997
10/31/19 20:10,22.749
10/31/19 20:15,22.369
10/31/19 20:20,21.899
10/31/19 20:25,21.442
10/31/19 20:30,20.873
10/31/19 20:35,20.61
10/31/19 20:40,20.711
10/31/19 20:45,20.909
10/31/19 20:50,21.421
10/31/19 20:55,22.11
10/31/19 21:00,23.137
10/31/19 21:05,24.679
10/31/19 21:10,26.117
10/31/19 21:15,27.128
10/31/19 21:20,27.72
10/31/19 21:25,28.062
10/31/19 21:30,28.345
10/31/19 21:35,28.878
10/31/19 21:40,29.617
10/31/19 21:45,30.523
10/31/19 21:50,31.066
10/31/19 21:55,31.347
10/31/19 22:00,31.486
10/31/19 22:05,31.651
10/31/19 22:10,31.751
10/31/19 22:15,31.723
10/31/19 22:20,31.839
10/31/19 22:25,31.966
10/31/19 22:30,31.972
10/31/19 22:35,32.026
10/31/19 22:40,32.099
10/31/19 22:45,32.346
10/31/19 22:50,32.54
10/31/19 22:55,32.679
10/31/19 23:00,32.458
10/31/19 23:05,32.562
10/31/19 23:10,32.864
10/31/19 23:15,32.811
10/31/19 23:20,32.707
10/31/19 23:25,32.755
10/31/19 23:30,32.903
10/31/19 23:35,32.878
10/31/19 23:40,32.772
10/31/19 23:45,32.778
10/31/19 23:50,32.695
10/31/19 23:55,32.635
11/1/19 0:00,32.568
11/1/19 0:05,32.475
11/1/19 0:10,32.645
11/1/19 0:15,32.766
11/1/19 0:20,32.855
11/1/19 0:25,32.916
11/1/19 0:30,32.844
11/1/19 0:35,32.801
11/1/19 0:40,32.613
11/1/19 0:45,32.453
11/1/19 0:50,32.298
11/1/19 0:55,32.15
11/1/19 1:00,31.993
11/1/19 1:05,31.79
11/1/19 1:10,31.63
11/1/19 1:15,31.586
11/1/19 1:20,31.569
11/1/19 1:25,31.602
11/1/19 1:30,31.525
11/1/19 1:35,31.393
11/1/19 1:40,31.233
11/1/19 1:45,30.946
11/1/19 1:50,30.961
11/1/19 1:55,31.314
11/1/19 2:00,31.557
11/1/19 2:05,31.822
11/1/19 2:10,31.822
11/1/19 2:15,32.076
11/1/19 2:20,31.972
11/1/19 2:25,31.89
11/1/19 2:30,31.702
11/1/19 2:35,31.492
11/1/19 2:40,31.295
11/1/19 2:45,31.006
11/1/19 2:50,30.731
11/1/19 2:55,30.41
11/1/19 3:00,30.178
11/1/19 3:05,29.903
11/1/19 3:10,29.533
11/1/19 3:15,29.235
11/1/19 3:20,28.958
11/1/19 3:25,28.766
11/1/19 3:30,28.583
11/1/19 3:35,28.357
11/1/19 3:40,28.076
11/1/19 3:45,27.789
11/1/19 3:50,27.546
11/1/19 3:55,27.374
11/1/19 4:00,27.275
11/1/19 4:05,27.065
11/1/19 4:10,26.877
11/1/19 4:15,26.723
11/1/19 4:20,26.342
11/1/19 4:25,26.011
11/1/19 4:30,25.719
11/1/19 4:35,25.542
11/1/19 4:40,25.238
11/1/19 4:45,24.908
11/1/19 4:50,24.515
11/1/19 4:55,24.283
11/1/19 5:00,24.058
11/1/19 5:05,23.743
11/1/19 5:10,23.389
11/1/19 5:15,23.184
11/1/19 5:20,22.932
11/1/19 5:25,22.793
11/1/19 5:30,22.456
11/1/19 5:35,22.169
11/1/19 5:40,21.728
11/1/19 5:45,21.248
11/1/19 5:50,20.668
11/1/19 5:55,20.145
11/1/19 6:00,19.62
11/1/19 6:05,19.079
11/1/19 6:10,18.576
11/1/19 6:15,18.085
11/1/19 6:20,17.632
11/1/19 6:25,17.125
